id,Category
14,italian
22,mexican
24,mexican
37,italian
40,cajun_creole
41,mexican
44,irish
46,indian
54,thai
60,mexican
61,vietnamese
64,indian
69,mexican
70,italian
73,italian
82,indian
89,mexican
91,italian
93,italian
98,chinese
102,filipino
104,chinese
108,southern_us
110,mexican
112,southern_us
116,french
132,italian
141,italian
145,southern_us
158,greek
176,korean
180,french
187,greek
189,italian
193,mexican
194,italian
196,korean
205,italian
208,spanish
216,korean
231,mexican
242,korean
252,mexican
259,japanese
262,southern_us
269,cajun_creole
272,southern_us
275,french
279,southern_us
284,japanese
291,italian
298,italian
302,southern_us
305,italian
306,spanish
311,cajun_creole
312,mexican
317,italian
323,mexican
324,italian
332,southern_us
336,italian
340,italian
347,italian
352,mexican
355,greek
362,italian
363,jamaican
366,italian
371,indian
377,italian
382,southern_us
385,mexican
387,italian
389,italian
394,italian
397,mexican
402,indian
409,korean
410,chinese
429,french
432,mexican
436,chinese
441,southern_us
442,southern_us
448,indian
449,mexican
451,irish
452,italian
462,mexican
467,italian
468,jamaican
469,indian
470,mexican
478,cajun_creole
484,french
485,mexican
486,japanese
492,mexican
501,irish
506,british
509,spanish
513,chinese
514,italian
516,italian
522,southern_us
524,italian
532,italian
534,mexican
545,mexican
548,spanish
550,mexican
572,mexican
576,cajun_creole
589,mexican
595,mexican
597,italian
598,italian
602,italian
609,italian
611,thai
612,southern_us
613,japanese
614,mexican
629,italian
636,southern_us
639,japanese
645,japanese
647,chinese
650,italian
653,southern_us
654,southern_us
658,italian
659,southern_us
663,italian
666,indian
667,indian
675,southern_us
677,southern_us
684,mexican
700,chinese
709,korean
711,chinese
720,italian
727,chinese
730,italian
735,southern_us
736,italian
742,japanese
745,indian
747,italian
758,mexican
764,indian
766,italian
772,mexican
773,italian
786,mexican
790,chinese
791,italian
802,southern_us
803,southern_us
812,mexican
814,italian
818,mexican
829,chinese
831,thai
844,greek
845,mexican
849,mexican
854,italian
858,thai
869,italian
870,japanese
875,french
879,italian
887,italian
888,greek
889,italian
901,thai
903,italian
904,indian
907,french
917,southern_us
928,cajun_creole
931,italian
933,italian
936,mexican
947,mexican
951,mexican
952,indian
955,mexican
961,mexican
964,italian
965,french
982,italian
986,southern_us
993,chinese
994,mexican
999,italian
1004,italian
1008,indian
1012,southern_us
1016,cajun_creole
1024,southern_us
1031,indian
1034,southern_us
1035,italian
1040,japanese
1047,italian
1055,mexican
1056,mexican
1060,french
1068,chinese
1069,indian
1077,indian
